State, land parcel, k, n, m, l_s, Iter, time (s)
MS,county,4,82,202,6,3,0.14
LA,county,6,64,161,4,3,0.09
SC,county,7,46,109,3,3,0.05
AL,county,7,67,171,3,4,0.12
MS,tract,4,878,2378,15,5,25.40
LA,tract,6,1388,3861,14,5,69.42
SC,tract,7,1323,3677,13,5,59.78
AL,tract,7,1437,4014,14,5,72.76
MD,tract,8,1475,3993,14,5,82.20
MO,tract,8,1654,4488,14,5,91.08
IN,tract,9,1696,4627,13,5,92.98
TN,tract,9,1701,4691,14,6,90.44
VA,tract,11,2198,6064,13,6,152.75
NJ,tract,12,2181,6061,12,6,165.62
MI,tract,13,3017,7989,14,5,413.54
NC,tract,14,2672,7422,13,6,237.69
GA,tract,14,2796,7762,14,5,314.85
OH,tract,15,3168,8747,13,5,338.88
IL,tract,17,3265,8728,13,6,478.99
PA,tract,17,3446,9641,13,6,383.96
TX,tract,38,6896,18554,12,6,3045.12