State, parcel, n, m, num_minority_districts, s, feasible/infeasible/unknown, time 
MS,county,82,202,1,6,Feasible,4.04
MS,tract,878,2378,2,15,Unknown,timeout 
,,,,2,16,Unknown,timeout 
MS,tract,878,2378,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
LA,tract,1388,3861,3,14,Infeasible,40.76
,,,,3,15,Infeasible,47.13
,,,,3,16,Unknown,timeout 
,,,,3,17,Unknown,timeout 
LA,tract,1388,3861,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
LA,tract,1388,3861,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
SC,tract,1323,3677,2,13,Infeasible,17.39
,,,,2,14,Infeasible,32.67
,,,,2,15,Infeasible,48.90
,,,,2,16,Unknown,timeout 
,,,,2,17,Unknown,timeout 
SC,tract,1323,3677,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
AL,tract,1437,4014,2,14,Infeasible,36.67
,,,,2,15,Unknown,timeout 
,,,,2,16,Unknown,timeout 
AL,tract,1437,4014,1,14,Infeasible,3353.32
,,,,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
MD,tract,1475,3993,4,14,Unknown,timeout 
,,,,4,15,Unknown,timeout 
MD,tract,1475,3993,3,14,Unknown,timeout 
,,,,3,15,Unknown,timeout 
MD,tract,1475,3993,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
MD,tract,1475,3993,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
MO,tract,1654,4488,1,14,Infeasible,0.01
,,,,1,15,Infeasible,0.01
,,,,1,16,Infeasible,0.01
,,,,1,17,Infeasible,0.01
,,,,1,18,Infeasible,0.01
,,,,1,19,Infeasible,0.01
,,,,1,20,Infeasible,0.01
,,,,1,21,Infeasible,0.01
,,,,1,22,Infeasible,0.01
,,,,1,23,Infeasible,0.01
,,,,1,24,Infeasible,0.01
,,,,1,25,Infeasible,0.01
,,,,1,26,Infeasible,0.01
,,,,1,27,Infeasible,0.01
,,,,1,28,Unknown,timeout 
,,,,1,29,Unknown,timeout 
TN,tract,1701,4691,2,14,Infeasible,0.12
,,,,2,15,Infeasible,0.14
,,,,2,16,Infeasible,0.10
,,,,2,17,Infeasible,0.10
,,,,2,18,Infeasible,0.12
,,,,2,19,Infeasible,0.13
,,,,2,20,Infeasible,0.16
,,,,2,21,Infeasible,0.22
,,,,2,22,Infeasible,0.45
,,,,2,23,Infeasible,0.91
,,,,2,24,Infeasible,1.22
,,,,2,25,Infeasible,1.84
,,,,2,26,Infeasible,2.10
,,,,2,27,Infeasible,1.89
,,,,2,28,Infeasible,1.28
,,,,2,29,Infeasible,1.06
,,,,2,30,Infeasible,0.95
,,,,2,31,Infeasible,0.94
,,,,2,32,Infeasible,1.01
,,,,2,33,Unknown,timeout 
,,,,2,34,Unknown,timeout 
TN,tract,1701,4691,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
VA,tract,2198,6064,2,13,Infeasible,20.95
,,,,2,14,Infeasible,22.96
,,,,2,15,Infeasible,31.54
,,,,2,16,Infeasible,32.39
,,,,2,17,Infeasible,48.84
,,,,2,18,Infeasible,39.79
,,,,2,19,Infeasible,38.71
,,,,2,20,Infeasible,55.18
,,,,2,21,Infeasible,63.98
,,,,2,22,Unknown,timeout 
,,,,2,23,Unknown,timeout 
VA,tract,2198,6064,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
NJ,tract,2181,6061,1,12,Unknown,timeout 
,,,,1,13,Unknown,timeout 
MI,tract,3017,7989,2,14,Infeasible,0.04
,,,,2,15,Infeasible,1.82
,,,,2,16,Infeasible,79.00
,,,,2,17,Unknown,timeout 
,,,,2,18,Unknown,timeout 
MI,tract,3017,7989,1,14,Infeasible,0.02
,,,,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
NC,tract,2672,7422,3,13,Infeasible,0.02
,,,,3,14,Infeasible,0.02
,,,,3,15,Infeasible,0.02
,,,,3,16,Infeasible,3.41
,,,,3,17,Infeasible,19.95
,,,,3,18,Infeasible,214.65
,,,,3,19,Infeasible,325.21
,,,,3,20,Infeasible,356.40
,,,,3,21,Infeasible,360.07
,,,,3,22,Infeasible,387.81
,,,,3,23,Infeasible,401.48
,,,,3,24,Infeasible,436.81
,,,,3,25,Unknown,timeout 
,,,,3,26,Unknown,timeout 
NC,tract,2672,7422,2,13,Infeasible,0.07
,,,,2,14,Infeasible,0.02
,,,,2,15,Infeasible,0.02
,,,,2,16,Infeasible,3.77
,,,,2,17,Infeasible,22.61
,,,,2,18,Unknown,timeout 
,,,,2,19,Unknown,timeout 
NC,tract,2672,7422,1,13,Infeasible,0.02
,,,,1,14,Infeasible,0.02
,,,,1,15,Infeasible,0.02
,,,,1,16,Infeasible,3.62
,,,,1,17,Unknown,timeout 
,,,,1,18,Unknown,timeout 
GA,tract,2796,7762,7,14,Infeasible,888.67
,,,,7,15,Infeasible,1084.24
,,,,7,16,Unknown,timeout 
,,,,7,17,Unknown,timeout 
GA,tract,2796,7762,6,14,Unknown,timeout 
,,,,6,15,Unknown,timeout 
GA,tract,2796,7762,5,14,Unknown,timeout 
,,,,5,15,Unknown,timeout 
GA,tract,2796,7762,4,14,Unknown,timeout 
,,,,4,15,Unknown,timeout 
GA,tract,2796,7762,3,14,Unknown,timeout 
,,,,3,15,Unknown,timeout 
GA,tract,2796,7762,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
GA,tract,2796,7762,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
OH,tract,3168,8747,2,13,Infeasible,0.03
,,,,2,14,Infeasible,0.03
,,,,2,15,Infeasible,0.03
,,,,2,16,Infeasible,0.02
,,,,2,17,Infeasible,0.03
,,,,2,18,Infeasible,0.32
,,,,2,19,Infeasible,7.26
,,,,2,20,Infeasible,26.67
,,,,2,21,Infeasible,117.09
,,,,2,22,Infeasible,119.00
,,,,2,23,Infeasible,80.23
,,,,2,24,Infeasible,68.24
,,,,2,25,Infeasible,65.97
,,,,2,26,Unknown,timeout 
,,,,2,27,Unknown,timeout 
OH,tract,3168,8747,1,13,Infeasible,0.02
,,,,1,14,Infeasible,0.02
,,,,1,15,Infeasible,0.02
,,,,1,16,Infeasible,0.02
,,,,1,17,Infeasible,0.02
,,,,1,18,Infeasible,325.32
,,,,1,19,Unknown,timeout 
,,,,1,20,Unknown,timeout 
